Absolwent_MBA	Absolwent MBA
Administrator_bezpieczeństwa_IT	Administrator bezpieczeństwa IT
Administrator_sieci	Administrator sieci
Administrator_systemu	Administrator systemu
Agent_ubezpieczeniowy	Agent ubezpieczeniowy
Analityk_HR	Analityk HR
Analityk_Kredytowy	Analityk Kredytowy
Analityk_bezpieczeństwa_IT	Analityk bezpieczeństwa IT
Analityk_ds._Badań_Rynku	Analityk ds. Badań Rynku
Analityk_systemu	Analityk systemu
Analityk_systemów_informatycznych_HR	Analityk systemów informatycznych HR
Animator_postaci_3D	Animator postaci 3D
Architekt_techniczny	Architekt techniczny
Artysta_3D	Artysta 3D
Artysta_środowiska_3D	Artysta środowiska 3D
Asystent_rekrutacji_HR	Asystent rekrutacji HR
Biuro_kierownika_zespołu	Biuro kierownika zespołu
Cukiernik	Cukiernik
Dyrektor_Rozwoju_Biznesu	Dyrektor Rozwoju Biznesu
Dyrektor_ds._Budowy	Dyrektor ds. Budowy
Edytor_wideo	Edytor wideo
Edytor_zdjęć	Edytor zdjęć
Eksploracja_VP	Eksploracja VP
Generalista_3D	Generalista 3D
Generalista_HR	Generalista HR
Generalista_IT	Generalista IT
HR_partner_biznesowy	HR partner biznesowy
Inicjatywy_strategiczne_wiceprezesa	Inicjatywy strategiczne wiceprezesa
Inspektor_policji	Inspektor policji
Inżynier_Produkcji	Inżynier Produkcji
Inżynier_VoIP	Inżynier VoIP
Inżynier_bezpieczeństwa_IT	Inżynier bezpieczeństwa IT
Inżynier_budowy	Inżynier budowy
Inżynier_interfejsu_użytkownika	Inżynier interfejsu użytkownika
Inżynier_mechanik	Inżynier mechanik
Inżynier_sieci_VoIP	Inżynier sieci VoIP
Inżynier_systemów_informatycznych	Inżynier systemów informatycznych
Inżynier_systemów_wsparcia_biznesu	Inżynier systemów wsparcia biznesu
Inżynier_wsparcia_technicznego	Inżynier wsparcia technicznego
Inżynieria_elektryczna	Inżynieria elektryczna
Kandydat_MBA	Kandydat MBA
Kierownik_Działu_Rozwoju_Biznesu	Kierownik Działu Rozwoju Biznesu
