Analista_de_Pesquisa_de_Mercado	Analista de Pesquisa de Mercado
Analista_de_marketing	Analista de marketing
Apresentador_de_televisão	Apresentador de televisão
Artista_performático	Artista performático
Artista_visual	Artista visual
Assistente_de_Bordo	Assistente de Bordo
Assistente_de_Gerente_Geral	Assistente de Gerente Geral
Assistente_de_Logística	Assistente de Logística
Assistente_de_Projetos	Assistente de Projetos
Avaliador_imobiliário	Avaliador imobiliário
Cantor_de_ópera	Cantor de ópera
Chefe_de_Desenvolvimento_de_Negócios	Chefe de Desenvolvimento de Negócios
Cinematográfico	Cinematográfico
Conselho_corporativo	Conselho corporativo
Coordenador_de_RH	Coordenador de RH
Copiadora	Copiadora
Desenvolvedor_de_aplicativos	Desenvolvedor de aplicativos
Director_Geral	Director Geral
Diretor_de_Desenvolvimento_de_Negócios	Diretor de Desenvolvimento de Negócios
Diretor_de_elenco	Diretor de elenco
Dono_do_restaurante	Dono do restaurante
Engenharia_elétrica	Engenharia elétrica
Engenheiro_Químico	Engenheiro Químico
Engenheiro_agrônomo	Engenheiro agrônomo
Engenheiro_de_Manufatura	Engenheiro de Manufatura
Engenheiro_de_Obras	Engenheiro de Obras
Engenheiro_de_Processo	Engenheiro de Processo
Engenheiro_de_Suporte_Técnico	Engenheiro de Suporte Técnico
Engenheiro_de_design_mecanico	Engenheiro de design mecanico
Engenheiro_de_sistemas	Engenheiro de sistemas
Engenheiro_de_testes	Engenheiro de testes
Escritório_de_Desenvolvimento_de_Negócios	Escritório de Desenvolvimento de Negócios
Especialista_em_Aquisição_de_Talentos	Especialista em Aquisição de Talentos
Especialista_em_Recrutamento	Especialista em Recrutamento
Especialista_em_Relações_Públicas	Especialista em Relações Públicas
Especialista_em_TI	Especialista em TI
Fotografo_profissional	Fotografo profissional
Física_familiar	Física familiar
Gerente_de_Desenvolvimento_de_Negócios	Gerente de Desenvolvimento de Negócios
Gerente_de_Relações_Públicas	Gerente de Relações Públicas
Gerente_de_limpeza	Gerente de limpeza
Gerente_de_talentos	Gerente de talentos
Gerente_de_tráfego	Gerente de tráfego
Gerente_principal_do_escritório	Gerente principal do escritório
Gestor_de_RH	Gestor de RH
Governanta_executiva	Governanta executiva
Investigador_criminal	Investigador criminal
Licença_prática_de_enfermeira	Licença prática de enfermeira
Liderança_da_equipe	Liderança da equipe
Linha_de_Produção	Linha de Produção
Mixador_de_som	Mixador de som
Mordomo_chefe	Mordomo chefe
O_vice-ministro	O vice-ministro
Parceiro_de_capital	Parceiro de capital
Piloto_comercial	Piloto comercial
Professor_de_Inglês	Professor de Inglês
Professor_primário	Professor primário
Recrutamento_Executivo	Recrutamento Executivo
Repórter	Repórter
Salva-vidas	Salva-vidas
Secretário_de_correio	Secretário de correio
Soldado	Soldado
Superintendente_de_Construção	Superintendente de Construção
Supervisor_de_logística	Supervisor de logística
Trabalhador_de_serviço_de_comida	Trabalhador de serviço de comida
Treinador_de_tênis	Treinador de tênis
Vendedor_de_varejo	Vendedor de varejo
Visualizar	Visualizar
acionista	acionista
acionista_gerente	acionista gerente
